query_id,question,expected_answer,question_type,difficulty,retrieval_method,rank,document_id,chunk_id,title,text,retrieval_score,is_supporting
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,BM25,1,D008,D008_C002,First for Women,The magazine was started in 1989.,12.807902582567303,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,BM25,2,D008,D008_C001,First for Women,First for Women is a woman's magazine published by Bauer Media Group in the USA.,11.17020317775779,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,BM25,3,D006,D006_C001,Arthur's Magazine,Arthur's Magazine (1844–1846) was an American literary periodical published in Philadelphia in the 19th century.,10.393567550925495,True
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,BM25,4,D008,D008_C004,First for Women,"In 2011 the circulation of the magazine was 1,310,696 copies.",9.489136531559046,False
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,Arthur's Magazine,comparison,medium,BM25,5,D006,D006_C003,Arthur's Magazine,"In May 1846 it was merged into ""Godey's Lady's Book"".",8.995370423906365,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,BM25,1,D007,D007_C001,The Oberoi Group,The Oberoi Group is a hotel company with its head office in Delhi.,14.404593013422302,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,BM25,2,D002,D002_C001,Oberoi family,"The Oberoi family is an Indian family that is famous for its involvement in hotels, namely through The Oberoi Group.",11.643302084581835,True
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,BM25,3,D008,D008_C001,Future Fibre Technologies,"Future Fibre Technologies (FFT) is a fiber optic sensing technologies company based in Melbourne, Australia, with its US head office in Mountain View, California, Middle East head office in Dubai, Indian head office in New Delhi and European head office in London.",11.114580538079085,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,BM25,4,D001,D001_C004,Ritz-Carlton Jakarta,The complex has two towers that comprises a hotel and the Airlangga Apartment respectively.,9.58698703299132,False
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,Delhi,bridge,medium,BM25,5,D006,D006_C004,Hotel Bond,"A Statler Hotel opened in the area in 1954, creating competition, and the Bond Hotel company declared bankruptcy shortly after that.",7.84990878364151,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,BM25,1,D005,D005_C001,Milhouse Van Houten,"Milhouse Mussolini van Houten is a fictional character featured in the animated television series ""The Simpsons"", voiced by Pamela Hayden, and created by Matt Groening who named the character after President Richard Nixon's middle name.",18.286983081534743,True
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,BM25,2,D004,D004_C004,Allie Goertz,"Subjects of her songs have included the film ""The Room"", the character Milhouse from the television show ""The Simpsons"", and the game Dungeons & Dragons.",12.460955600938155,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,BM25,3,D004,D004_C001,Allie Goertz,"Allison Beth ""Allie"" Goertz (born March 2, 1991) is an American musician.",11.26399226975795,True
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,BM25,4,D002,D002_C005,Marge Simpson,He named the character after his mother Margaret Groening.,10.759177581227306,False
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",President Richard Nixon,bridge,hard,BM25,5,D007,D007_C005,Homer Simpson,"He named the character after his father, Homer Groening.",10.759177581227306,False
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,American,bridge,medium,BM25,1,D003,D003_C003,Incest: From a Journal of Love,"It features Nin's relationships with writer Henry Miller, his wife June Miller, the psychoanalyst Otto Rank, her father Joaquín Nin, and her husband Hugh Parker Guiler.",3.5822648175607257,False
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,American,bridge,medium,BM25,2,D008,D008_C001,June Miller,"June Miller (January 7 or 28, 1902 – February 1, 1979) was the much-written-about second wife of Henry Miller.",3.176990974109329,False
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,American,bridge,medium,BM25,3,D004,D004_C001,James Henry Deakin (junior),"James Henry Deakin (1851 – 8 November 1881) was a British Conservative politician, the son of Col. James Henry Deakin, a Manchester merchant.",3.0907793348583192,False
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,American,bridge,medium,BM25,4,D007,D007_C002,Henry Miller Memorial Library,Henry Miller’s friend Emil White built the house that is now the Library in the mid-1960s.,2.6236068796846093,False
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,American,bridge,medium,BM25,5,D002,D002_C003,"Launceston by-election, 1874",It was won by the Conservative candidate James Henry Deakin (junior).,2.504875287414281,False
5a84dd955542997b5ce3ff79,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol,bridge,medium,BM25,1,D001,D001_C002,Cadmium chloride,It is a hygroscopic solid that is highly soluble in water and slightly soluble in alcohol.,10.712697102803178,True
5a84dd955542997b5ce3ff79,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",alcohol,bridge,medium,BM25,2,D002,D002_C003,Water blue,It is soluble in water and slightly soluble in ethanol.,8.202583315984702,False
