query_id,question,answer,question_type,difficulty,experiment_split,source_split
5ae1e5545542997f29b3c17a,Siyi Yue has a representative dialect that is related to what larger language?,Cantonese,bridge,medium,training,train
5ab9aecb554299743d22eb9c,"What is the name of this American game show creator, producer, and host, for whose production company Johnny Jacobs often worked?",Chuck Barris,bridge,medium,training,train
5ac1d2ee5542994d76dccef0,Who cared for the castle with which was the caput of Lord of Liddesdale?,Historic Scotland,bridge,medium,training,train
5abe9def5542991f661061b3,"Bart The Bear, the star of a movie adapted from the novel ""The Grizzly King"", was trained in what city?","Heber City, Utah",bridge,easy,training,train
5a86f353554299211dda2b65,Reg Mountford played football that for a team that competes in which league?,the Premier League,bridge,medium,training,train
5a7d33e15542995f4f402235,Speranza is an annual youth festival is held by which engineering institution?,The Indian Institute of Technology Delhi,bridge,medium,training,train
5ac2cda7554299657fa2906f,Leighton Jordan is an American beauty pageant titleholder from a city located in this county in Georgia?,Gwinnett County,bridge,hard,training,train
5a72933d5542991f9a20c4fe,who is the American sports broadcaster whose commentary is featured on WCW Backstage Assault?,Tony Schiavone,bridge,medium,training,train
5a863af15542991e771815cc,Which american comedian starred in Seize the Day and has a son named Ben?,Jerry Stiller,bridge,medium,training,train
5ae2c9235542991a06ce98d5,Are Louis de Bernières and Anya Seton from different countries?,yes,comparison,easy,training,train
5a7a37195542996a35c17135,"Which building was built first, Cannon Building or McCarthy Building ?",Cannon Building,bridge,medium,training,train
5a820b2d5542990a1d231f22,"Daniel John Ferguson Paton, was a Scottish footballer who played in the Football League for which professional football club in Aston, Birmingham, that plays in the Championship, the second level of English football?",Aston Villa Football Club,bridge,easy,training,train
5ae1106e55429920d52342b8,What type of publication are both TV Guide and The American Spectator?,magazine,comparison,medium,training,train
5a80e829554299260e20a1b6,What American actor starred in Home Again and Saturday Night Live?,Jon Rudnitsky,bridge,medium,training,train
5abed2505542990832d3a0cf,C. Barry Carter serves as Editor-in-Chief of a journal founded by who?,Robert W. Cahn,bridge,medium,training,train
5a72b8d25542991f29ee2cd4,What types of alcoholic drinks are mixed into the Shrub and Oatmeal Cookie mixed drinks are there?,made with rum or brandy,comparison,easy,training,train
5a73d8a05542992d56e7e3b8,Which mine yielded both gold and copper over its life: Meadowbank Gold Mine or McIntyre Mines?,McIntyre mine,comparison,hard,training,train
5ae788cf5542994a481bbd75,How many climbers died including Andreas Hinterstoisser while climbing the Eiger north face?,five,bridge,medium,training,train
5ae354d05542992f92d82284,The Upside of Irrationality is a book that followed which 2008 book?,Predictably Irrational,bridge,medium,training,train
5ae3acaa5542990afbd1e1a7,What upcoming American erotic romantic drama film did Robinne Lee star in?,Fifty Shades Freed,bridge,easy,training,train
5a77263255429972597f144b,What movie based on a French science fiction comics series stars Dane DeHaan?,Valerian and the City of a Thousand Planets,bridge,medium,training,train
5a732ff45542994cef4bc49a,What opera was Luigi Piazza associated with on 11 March 1851?,Rigoletto,bridge,medium,training,train
5ae1c58b554299422ee9968d,Voll-Damm is a style of beer that originated where?,Bavaria,bridge,medium,training,train
5ae278a65542992decbdcd19,"Pedro Javier Munoz Gonzales played seven seasons in the majors, for an American professional baseball team that was named after the twin cities, which comprise what?",Minneapolis and St. Paul,bridge,medium,training,train
5abfd18f5542994516f45503,Which writer on the show about several identical people who are clones is also a co-executive producer on the same show?,Russ Cochrane,bridge,medium,training,train
