query_id,question,question_type,difficulty,retrieval_method,alpha,top_k,total_gold_chunks,gold_chunks_retrieved,precision_at_5,recall_at_5,hit_at_5,first_relevant_rank
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,comparison,medium,Hybrid,0.5,5,2,2,0.4,1.0,True,2.0
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,bridge,medium,Hybrid,0.5,5,2,2,0.4,1.0,True,1.0
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",bridge,hard,Hybrid,0.5,5,4,1,0.2,0.25,True,1.0
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,bridge,medium,Hybrid,0.5,5,3,0,0.0,0.0,False,
5a84dd955542997b5ce3ff79,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",bridge,medium,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
5a7e36045542991319bc9440,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",comparison,medium,Hybrid,0.5,5,3,2,0.4,0.6666666666666666,True,1.0
5adf44985542993a75d2646d,Which genus of moth in the world's seventh-largest country contains only one species?,bridge,hard,Hybrid,0.5,5,4,0,0.0,0.0,False,
5a832c3455429954d2e2ec41,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",bridge,easy,Hybrid,0.5,5,4,3,0.6,0.75,True,1.0
5a7d0db955429909bec76924,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",bridge,medium,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
5a89372855429951533612e6,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,bridge,hard,Hybrid,0.5,5,4,1,0.2,0.25,True,1.0
5abd90545542996e802b47d7,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",bridge,medium,Hybrid,0.5,5,2,1,0.2,0.5,True,2.0
5aba66c855429939ce03dcdb,"Gunmen from Laredo starred which narrator of ""Frontier""?",bridge,medium,Hybrid,0.5,5,3,2,0.4,0.6666666666666666,True,1.0
5a7722d655429966f1a36c99,Where did the form of music played by Die Rhöner Säuwäntzt originate?,bridge,medium,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
5ade025e5542997dc790711e,In which American football game was Malcolm Smith named Most Valuable player?,bridge,easy,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
5ab381b155429969a97a816b,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",bridge,hard,Hybrid,0.5,5,2,1,0.2,0.5,True,3.0
5ae0d91e55429924de1b7198,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",bridge,medium,Hybrid,0.5,5,5,3,0.6,0.6,True,1.0
5ac2a5d455429921a00ab01b,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,bridge,easy,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
5adc1309554299438c868d3b,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",bridge,medium,Hybrid,0.5,5,2,1,0.2,0.5,True,1.0
