query_id,question,question_type,difficulty,precision_bm25,recall_bm25,hit_bm25,first_rank_bm25,precision_dense,recall_dense,hit_dense,first_rank_dense,precision_hybrid,recall_hybrid,hit_hybrid,first_rank_hybrid,recall_winner
5a7a06935542990198eaf050,Which magazine was started first Arthur's Magazine or First for Women?,comparison,medium,0.4,1.0,True,2.0,0.4,1.0,True,1.0,0.4,1.0,True,2.0,Tie
5a879ab05542996e4f30887e,The Oberoi family is part of a hotel company that has a head office in what city?,bridge,medium,0.4,1.0,True,1.0,0.4,1.0,True,1.0,0.4,1.0,True,1.0,Tie
5a8d7341554299441c6b9fe5,"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",bridge,hard,0.4,0.5,True,1.0,0.2,0.25,True,2.0,0.2,0.25,True,1.0,BM25
5a82171f5542990a1d231f4a, What nationality was James Henry Miller's wife?,bridge,medium,0.0,0.0,False,,0.2,0.3333333333333333,True,4.0,0.0,0.0,False,,Dense
5a84dd955542997b5ce3ff79,"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",bridge,medium,0.2,0.5,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,Tie
5a7e36045542991319bc9440,"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",comparison,medium,0.4,0.6666666666666666,True,1.0,0.4,0.6666666666666666,True,1.0,0.4,0.6666666666666666,True,1.0,Tie
5adf44985542993a75d2646d,Which genus of moth in the world's seventh-largest country contains only one species?,bridge,hard,0.4,0.5,True,3.0,0.0,0.0,False,,0.0,0.0,False,,BM25
5a832c3455429954d2e2ec41,"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",bridge,easy,0.2,0.25,True,1.0,0.8,1.0,True,1.0,0.6,0.75,True,1.0,Dense
5a7d0db955429909bec76924,"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",bridge,medium,0.2,0.5,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,Tie
5a89372855429951533612e6,What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,bridge,hard,0.2,0.25,True,1.0,0.4,0.5,True,3.0,0.2,0.25,True,1.0,Dense
5abd90545542996e802b47d7,"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",bridge,medium,0.2,0.5,True,2.0,0.2,0.5,True,3.0,0.2,0.5,True,2.0,Tie
5aba66c855429939ce03dcdb,"Gunmen from Laredo starred which narrator of ""Frontier""?",bridge,medium,0.4,0.6666666666666666,True,1.0,0.4,0.6666666666666666,True,1.0,0.4,0.6666666666666666,True,1.0,Tie
5a7722d655429966f1a36c99,Where did the form of music played by Die Rhöner Säuwäntzt originate?,bridge,medium,0.2,0.5,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,Tie
5ade025e5542997dc790711e,In which American football game was Malcolm Smith named Most Valuable player?,bridge,easy,0.2,0.5,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,Tie
5ab381b155429969a97a816b,"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",bridge,hard,0.2,0.5,True,5.0,0.2,0.5,True,3.0,0.2,0.5,True,3.0,Tie
5ae0d91e55429924de1b7198,"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",bridge,medium,0.6,0.6,True,1.0,0.6,0.6,True,1.0,0.6,0.6,True,1.0,Tie
5ac2a5d455429921a00ab01b,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,bridge,easy,0.2,0.5,True,4.0,0.4,1.0,True,1.0,0.2,0.5,True,1.0,Dense
5adc1309554299438c868d3b,"Human Error"" is the season finale of the third season of a tv show that aired on what network?",bridge,medium,0.4,1.0,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,BM25
5a83168855429966c78a6b2e,"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",bridge,easy,0.2,0.5,True,1.0,0.4,1.0,True,1.0,0.2,0.5,True,1.0,Dense
5ab698885542995eadef002a,"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",bridge,easy,0.6,1.0,True,1.0,0.4,0.6666666666666666,True,1.0,0.6,1.0,True,1.0,Tie
5ab345db55429969a97a8122,"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",bridge,medium,0.4,1.0,True,2.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,BM25
5adf732a5542993a75d264e9,Which  American politician did Donahue replaced ,bridge,easy,0.2,0.5,True,5.0,0.0,0.0,False,,0.2,0.5,True,5.0,Tie
5ac2a912554299218029dae8,"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",comparison,medium,0.2,0.3333333333333333,True,1.0,0.6,1.0,True,1.0,0.4,0.6666666666666666,True,1.0,Dense
5a7272eb5542997f827839d7,How old is the female main protagonist of Catching Fire?,bridge,medium,0.2,0.5,True,4.0,0.2,0.5,True,1.0,0.4,1.0,True,3.0,Hybrid
5ac2c3545542990b17b1548b,Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,bridge,medium,0.4,1.0,True,1.0,0.2,0.5,True,1.0,0.4,1.0,True,1.0,Tie
5ae3b4d05542992f92d82349,Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,bridge,hard,0.2,0.3333333333333333,True,2.0,0.4,0.6666666666666666,True,1.0,0.4,0.6666666666666666,True,3.0,Tie
5a76a401554299373536012b,"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",bridge,easy,0.2,0.5,True,2.0,0.2,0.5,True,4.0,0.2,0.5,True,2.0,Tie
5ae3918b5542994393b9e709,Were Pavel Urysohn and Leonid Levin known for the same type of work?,comparison,medium,0.2,0.5,True,1.0,0.2,0.5,True,1.0,0.2,0.5,True,1.0,Tie
5a8efd3c55429918e830d179,Are both The New Pornographers and Kings of Leon American rock bands?,comparison,hard,0.2,0.5,True,1.0,0.4,1.0,True,1.0,0.4,1.0,True,1.0,Tie
